   team_id    |                     name                     | sport_name 
 NCAAB-221    | NBA Team 221                                 | NCAAB
 NCAAB-2390   | NBA Team 2390                                | NCAAB
 NCAAB-252    | NBA Team 252                                 | NCAAB
 NCAAB-245    | NBA Team 245                                 | NCAAB
 NCAAB-2633   | NBA Team 2633                                | NCAAB
 NCAAB-305    | NBA Team 305                                 | NCAAB
 NCAAB-2608   | NBA Team 2608                                | NCAAB
 MLB-19       | MLB Team 19                                  | MLB
 NCAAB-2599   | St. John's Red Storm                         | NCAAB
 NCAAB-2509   | NBA Team 2509                                | NCAAB
 SOCCER-359   | NBA Team 359                                 | SOCCER
 SOCCER-370   | NBA Team 370                                 | SOCCER
 NCAAB-2934   | NCAAB Team 2934                              | NCAAB
 NBA-126120   | NBA Team 126120                              | NBA
 NCAAF-242    | NCAAF Team 242                               | NCAAF
 NCAAF-344    | NCAAF Team 344                               | NCAAF
 NCAAF-2294   | NCAAF Team 2294                              | NCAAF
 NCAAF-324    | NCAAF Team 324                               | NCAAF
 NCAAB-2287   | NCAAB Team 2287                              | NCAAB
 NCAAF-2026   | NCAAF Team 2026                              | NCAAF
 NCAAB-2349   | NCAAB Team 2349                              | NCAAB
 NCAAB-2305   | Kansas Jayhawks                              | NCAAB
 NCAAF-221    | NCAAF Team 221                               | NCAAF
 NCAAF-193    | NCAAF Team 193                               | NCAAF
 NCAAF-2636   | NCAAF Team 2636                              | NCAAF
 NCAAF-265    | NCAAF Team 265                               | NCAAF
 NCAAF-201    | NCAAF Team 201                               | NCAAF
 NCAAF-2623   | NCAAF Team 2623                              | NCAAF
 NCAAF-264    | NCAAF Team 264                               | NCAAF
 SOCCER-362   | SOCCER Team 362                              | SOCCER
 NCAAF-2579   | NCAAF Team 2579                              | NCAAF
 NCAAF-2050   | NCAAF Team 2050                              | NCAAF
 NCAAB-232    | NCAAB Team 232                               | NCAAB
 NCAAF-183    | NCAAF Team 183                               | NCAAF
 NCAAF-275    | NCAAF Team 275                               | NCAAF
 NCAAF-2440   | NCAAF Team 2440                              | NCAAF
 NCAAF-2309   | NCAAF Team 2309                              | NCAAF
 NCAAF-2199   | NCAAF Team 2199                              | NCAAF
 NCAAB-2750   | NCAAB Team 2750                              | NCAAB
 NCAAF-2006   | NCAAF Team 2006                              | NCAAF
 NCAAF-2815   | NCAAF Team 2815                              | NCAAF
 NCAAF-2681   | NCAAF Team 2681                              | NCAAF
 NCAAB-2739   | NCAAB Team 2739                              | NCAAB
 NCAAB-299    | NCAAB Team 299                               | NCAAB
 NCAAF-2377   | NCAAF Team 2377                              | NCAAF
 NCAAF-160    | NCAAF Team 160                               | NCAAF
 NCAAB-2437   | NCAAB Team 2437                              | NCAAB
 NCAAF-2916   | NCAAF Team 2916                              | NCAAF
 NCAAB-228    | Clemson Tigers                               | NCAAB
 NCAAB-325    | NCAAB Team 325                               | NCAAB
 NCAAF-2405   | NCAAF Team 2405                              | NCAAF
 NCAAB-3101   | NCAAB Team 3101                              | NCAAB
 NCAAF-2502   | NCAAF Team 2502                              | NCAAF
 NCAAF-2046   | NCAAF Team 2046                              | NCAAF
 NCAAB-256    | NCAAB Team 256                               | NCAAB
 NCAAF-304    | NCAAF Team 304                               | NCAAF
 NCAAF-2296   | NCAAF Team 2296                              | NCAAF
 NCAAF-2448   | NCAAF Team 2448                              | NCAAF
 NCAAF-2692   | NCAAF Team 2692                              | NCAAF
 NCAAB-2908   | NCAAB Team 2908                              | NCAAB
 NCAAF-2464   | NCAAF Team 2464                              | NCAAF
 NCAAF-2029   | NCAAF Team 2029                              | NCAAF
 NCAAB-253    | NCAAB Team 253                               | NCAAB
 NCAAF-2115   | NCAAF Team 2115                              | NCAAF
 NCAAF-399    | NCAAF Team 399                               | NCAAF
 NCAAF-2627   | NCAAF Team 2627                              | NCAAF
 NCAAF-2617   | NCAAF Team 2617                              | NCAAF
 NCAAB-2815   | NCAAB Team 2815                              | NCAAB
 NCAAB-2378   | NBA Team 2378                                | NCAAB
 NCAAB-2674   | NBA Team 2674                                | NCAAB
 NCAAB-2506   | NBA Team 2506                                | NCAAB
 NCAAB-2870   | NBA Team 2870                                | NCAAB
 SOCCER-393   | Nottingham Forest                            | SOCCER
 NCAAB-2565   | NCAAB Team 2565                              | NCAAB
 SOCCER-349   | AFC Bournemouth                              | SOCCER
 NCAAB-2385   | NBA Team 2385                                | NCAAB
 NCAAB-2539   | NCAAB Team 2539                              | NCAAB
 NCAAB-2405   | NBA Team 2405                                | NCAAB
 NCAAB-2635   | NBA Team 2635                                | NCAAB
 NCAAB-2502   | NBA Team 2502                                | NCAAB
 NCAAB-2856   | NBA Team 2856                                | NCAAB
 NCAAB-2681   | NCAAB Team 2681                              | NCAAB
 NCAAB-2571   | NBA Team 2571                                | NCAAB
 NCAAB-3084   | NBA Team 3084                                | NCAAB
 NCAAB-300    | NBA Team 300                                 | NCAAB
 SOCCER-384   | Crystal Palace                               | SOCCER
 NCAAB-2628   | NBA Team 2628                                | NCAAB
 NCAAB-2241   | NCAAB Team 2241                              | NCAAB
 NCAAB-265    | NBA Team 265                                 | NCAAB
 NCAAB-239    | NBA Team 239                                 | NCAAB
